rank,address,balance_satoshi,balance_btc
1,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,7995726868453,79957.26868453
2,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,5388006663434,53880.06663434
3,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,5183040191776,51830.40191776
4,1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,4400008810264,44000.08810264
5,3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,3792707834862,37927.07834862
6,bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,3600042409301,36000.42409301
7,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,3164340211077,31643.40211077
8,3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,3127535266900,31275.352669
9,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,3100007643255,31000.07643255
10,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,2815106011140,28151.0601114
11,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,1941443195091,19414.43195091
12,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,1077053634801,10770.53634801
13,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,993363148420,9933.6314842
14,1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,926001680364,9260.01680364
15,167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,899900686948,8999.00686948
16,198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,800000938691,8000.00938691
17,15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,794106725085,7941.06725085
18,1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,700000538287,7000.00538287
19,1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,699900389443,6999.00389443
20,1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,651196170002,6511.96170002
21,1ARWCREnmdKyHgNg2c9qih8UzRr4MMQEQS,500001986155,5000.01986155
22,16Jka2DrvEGGJ6ks2kXRpxmQZLQmAFRoGk,500000203131,5000.00203131
23,12ytiN9oWQTRGb6JjZiaoWMAvF9nPWdGX1,500000120471,5000.00120471
24,18Hp8j2JMvwtPs1eqNaYEEVvuFpjQJRFVY,433300249604,4333.00249604
25,16eb495TbiCRbRbZv4WBdaUvNGxUYJ4jed,432233201106,4322.33201106
26,1ALXLVNj7yKRU2Yki3K3yQGB5TBPof7jyo,400000210193,4000.00210193
27,1LwBdypLh3WPawK1WUqGZXgs4V8neHHqb7,400000186446,4000.00186446
28,18hFBPU81kC8V4Dp4iwdwQHakKa5TW2ZkJ,382394092346,3823.94092346
29,18eY9oWL2mkXCL1VVwPme2NMmAVhX6EfyM,370000726971,3700.00726971
