index,label_or_address,address_candidate,balance_btc_as_provided,inputs,outputs,source
420,1ERf7djuaCGE7Dhjm7cd9gLYCaqBpCvE3,1ERf7djuaCGE7Dhjm7cd9gLYCaqBpCvE3,500.00,26,0,pasted_content.txt
421,12NiPXKveMZQsek1QYucYQqjTNQ1zvDGBu,12NiPXKveMZQsek1QYucYQqjTNQ1zvDGBu,500.00,25,0,pasted_content.txt
422,1B3BpchGnXDsgDMT92cAGcaQYkvvEHhdag,1B3BpchGnXDsgDMT92cAGcaQYkvvEHhdag,500.00,24,0,pasted_content.txt
423,18TExPoeCKud3H71fGPNJ54TVuNp2q8VV9,18TExPoeCKud3H71fGPNJ54TVuNp2q8VV9,500.00,25,0,pasted_content.txt
424,17fEF2VTryzT3APTYTqKi2SThPai8Tzh7z,17fEF2VTryzT3APTYTqKi2SThPai8Tzh7z,500.00,25,0,pasted_content.txt
425,16FFhhQBHXvZnuWzFPuAuPgADeaNqkdnXi,16FFhhQBHXvZnuWzFPuAuPgADeaNqkdnXi,500.00,25,0,pasted_content.txt
426,1CWCrnNi3kWwjvVzsF9LSyJVV9gdp1KYGM,1CWCrnNi3kWwjvVzsF9LSyJVV9gdp1KYGM,500.00,25,0,pasted_content.txt
427,1BXbBDc9zEdDeWWGRvipK7FfbSUcRuLsv8,1BXbBDc9zEdDeWWGRvipK7FfbSUcRuLsv8,500.00,24,0,pasted_content.txt
428,18v45sFpTrGRNMW34PooFYcnqhULUS7AeN,18v45sFpTrGRNMW34PooFYcnqhULUS7AeN,500.00,24,0,pasted_content.txt
429,1HhchdRdUcmgvkEfb2gYZJ2TgAtjTiPJNX,1HhchdRdUcmgvkEfb2gYZJ2TgAtjTiPJNX,500.00,24,0,pasted_content.txt
431,1CjDQitoqgm7wKhF3pZDBzAsq4Jbz9r2LT,1CjDQitoqgm7wKhF3pZDBzAsq4Jbz9r2LT,500.00,25,0,pasted_content.txt
432,1P6RsTx2iW32SapV9Y63z5M4LW2KE2TtPE,1P6RsTx2iW32SapV9Y63z5M4LW2KE2TtPE,500.00,23,0,pasted_content.txt
433,1CoG8tAfg2cQXhWptGRjTEpiAkYgU3xYvY,1CoG8tAfg2cQXhWptGRjTEpiAkYgU3xYvY,500.00,23,0,pasted_content.txt
434,1DpEqg8kYPpzgnzMNLNSH2otAfiNqwhozX,1DpEqg8kYPpzgnzMNLNSH2otAfiNqwhozX,500.00,26,0,pasted_content.txt
435,1737CMveZDmZLMocHJNFE3zJrcgMjkt5WV,1737CMveZDmZLMocHJNFE3zJrcgMjkt5WV,500.00,23,0,pasted_content.txt
